姓名,岗位,当前阶段,推荐日期,业务筛选日期,邀约日期,面试日期,Offer日期,接受日期,入职日期,状态备注,base地,子状态
梁星宇,抽卡师,已淘汰,2026/07/08,,,,,,,业务筛选淘汰,重庆,
向玲,抽卡师,已淘汰,2026/07/08,2026/07/08,2026/07/08,2026/07/08,,,,未参加面试,重庆,
陈俊豪,抽卡师,已入职,2026/07/08,2026/07/08,2026/07/09,2026/07/16,2026/07/17,,,7.21入职,重庆,
刘悦,抽卡师,已淘汰,,,2026/07/08,,2026/07/09,,,面试通过，谈薪资，7-10已拒绝机会,重庆,
杨鑫,抽卡师,已淘汰,2026/07/09,2026/07/09,,,,,,,重庆,
黄璟珂,抽卡师,已淘汰,2026/07/09,2026/07/09,2026/07/09,2026/07/13,,,,面试未通过,重庆,
唐欣,抽卡师,已淘汰,2026/07/09,2026/07/09,2026/07/09,2026/07/13,,,,面试未通过,重庆,
谭青芳,抽卡师,已淘汰,2026/07/09,2026/07/09,2026/07/13,2026/07/15,,,,需重新安排面试,重庆,
莫烨烨,抽卡师,已淘汰,2026/07/09,2026/07/09,,,,,,,重庆,
小李,抽卡师,已淘汰,2026/07/09,2026/07/09,,,,,,邀约时无意向取消(7-10),重庆,
徐吉,抽卡师,已淘汰,2026/07/09,2026/07/09,2026/07/09,2026/07/10,2026/07/14,,,待谈薪,重庆,
杨婕妤,抽卡师,已淘汰,2026/07/09,2026/07/09,2026/07/13,2026/07/10,,,,面试未参加,重庆,
罗越玲,抽卡师,已淘汰,2026/07/09,2026/07/09,2026/07/09,2026/07/13,,,,面试未通过,重庆,
赤依萍,短剧运营,已淘汰,,,2026/07/14,2026/07/13,,,,联系不上，面试待定,北京,
董民亮,短剧运营,已淘汰,,,2026/07/09,2026/07/13,,,,放弃面试,北京,
吴丹,抽卡师,已入职,2026/07/10,2026/07/10,2026/07/10,2026/07/16,2026/07/17,,,7.21入职,重庆,
陈晓凤,抽卡师,已淘汰,2026/07/09,2026/07/10,2026/07/10,2026/07/14,,,,,重庆,
王超,短剧编剧,已淘汰,2026/07/10,2026/07/10,2026/07/14,2026/07/17,,,,7.17面试,北京,
杨涛,抽卡师,已淘汰,,,,,,,,业务筛选拒绝(7-10),重庆,
蒋汶谚,抽卡师,已淘汰,,,,,,,,业务筛选拒绝(7-10),重庆,
李美炎,抽卡师,已入职,2026/07/09,2026/07/09,2026/07/09,2026/07/10,2026/07/14,,2026/07/23,7.23入职,重庆,
张媛,内容策略运营,已淘汰,2026/07/10,2026/07/10,,,,,,,北京,
袁谨,短剧编剧,已淘汰,2026/07/10,2026/07/10,,,,,,,北京,
何宇杰,抽卡师,已淘汰,2026/07/13,2026/07/13,2026/07/13,2026/07/16,,,,谈薪中,重庆,
杨娅男,短剧编剧,已淘汰,2026/07/13,2026/07/13,,,,,,,北京,
李祝俊,抽卡师,已淘汰,2026/07/13,2026/07/13,2026/07/13,2026/07/16,,,,谈薪中,重庆,
陈嘉颖,短剧运营,已淘汰,2026/07/13,,,,,,,,北京,
王建南,抽卡师,已淘汰,2026/07/13,2026/07/13,2026/07/14,2026/07/17,,,,,重庆,
王瑶,抽卡师,已入职,2026/07/13,2026/07/13,2026/07/14,2026/07/16,2026/07/21,,2026/07/23,审批中,重庆,
张弛,内容策略运营,已淘汰,2026/07/13,2026/07/13,,,,,,,北京,
简红雷,抽卡师,已入职,2026/07/13,2026/07/13,2026/07/14,2026/07/16,2026/07/21,,2026/07/23,审批中,重庆,
朱婷,抽卡师,已淘汰,2026/07/13,,,,,,,,重庆,
胥垚鑫,抽卡师,已淘汰,2026/07/13,2026/07/13,2026/07/14,2026/07/16,,,,,重庆,
龚艳琴,抽卡师,已入职,,,,,,,,7.14入职,重庆,
冉嫣然,抽卡师,已入职,,,,,,,,7.14入职,重庆,
王胜,短剧编剧,已淘汰,2026/07/14,,,,,,,初筛拒绝,北京,
占黎菲,短剧编剧,已淘汰,2026/07/14,,,,,,,初筛拒绝,北京,
陈思霖,抽卡师,已淘汰,2026/07/14,,,,,,,初筛拒绝,重庆,
李抒雁,抽卡师,已淘汰,2026/07/14,,,,,,,初筛拒绝,重庆,
温和,短剧编剧,已淘汰,2026/07/14,2026/07/14,2026/07/14,2026/07/14,,,,,北京,
李晓雯,内容策略运营,已淘汰,2026/07/14,2026/07/15,2026/07/16,2026/07/16,,,,,北京,
秦垦,抽卡师,已入职,2026/07/14,2026/07/15,2026/07/15,2026/07/16,,,2026/07/23,,重庆,
张薇,短剧运营,已淘汰,2026/07/14,,,,,,,,北京,
田晓宇,剧本审核专员,已淘汰,2026/07/15,2026/07/15,2026/07/15,2026/07/16,,,,,西安,
刘潘,抽卡师,已入职,2026/07/15,2026/07/15,2026/07/16,2026/07/20,2026/07/21,,2026/07/23,审批中,重庆,
